Timestamp,Open,High,Low,Close,Volume
2020-12-29 00:00:00,0.449,0.47,0.4149,0.4673,15257079.24
2020-12-30 00:00:00,0.4674,0.4982,0.456,0.4728,14714511.02
2020-12-31 00:00:00,0.4729,0.4807,0.4416,0.4665,10840449.68
2021-01-01 00:00:00,0.467,0.4738,0.4341,0.4497,8088779.5
2021-01-02 00:00:00,0.4493,0.4606,0.425,0.434,8446103.06
2021-01-03 00:00:00,0.4341,0.4926,0.43,0.4864,16815133.9
2021-01-04 00:00:00,0.4868,0.5241,0.45,0.523,21888056.35
2021-01-05 00:00:00,0.523,0.572,0.4771,0.5472,21086077.56
2021-01-06 00:00:00,0.5472,0.658,0.5317,0.6253,27652462.92
2021-01-07 00:00:00,0.6253,0.6361,0.55,0.574,21462684.57
2021-01-08 00:00:00,0.5731,0.65,0.5196,0.628,22218749.32
2021-01-09 00:00:00,0.6286,0.7195,0.599,0.6849,18618968.63
2021-01-10 00:00:00,0.6858,0.719,0.5651,0.6342,20684011.59
2021-01-11 00:00:00,0.6344,0.6371,0.5238,0.6058,27288125.52
2021-01-12 00:00:00,0.6061,0.6411,0.5407,0.5695,15601275.42
2021-01-13 00:00:00,0.5696,0.6401,0.538,0.6271,14183440.28
2021-01-14 00:00:00,0.628,0.6365,0.5832,0.603,10964873.25
2021-01-15 00:00:00,0.6022,0.66,0.552,0.6112,22498273.62
2021-01-16 00:00:00,0.6112,0.7263,0.6036,0.66,24962538.59
2021-01-17 00:00:00,0.66,0.6835,0.61,0.6625,14177821.51
2021-01-18 00:00:00,0.6633,0.7791,0.6428,0.7455,26166685.89
2021-01-19 00:00:00,0.7458,0.7714,0.6793,0.6956,14312822.33
2021-01-20 00:00:00,0.6951,0.8179,0.6362,0.8043,22510504.93
2021-01-21 00:00:00,0.8043,0.8898,0.6901,0.6985,45839913.58
2021-01-22 00:00:00,0.6985,0.7604,0.632,0.7073,23319785.45
2021-01-23 00:00:00,0.7066,0.7582,0.6975,0.7289,12237694.45
2021-01-24 00:00:00,0.7289,0.7921,0.7206,0.7598,13022759.09
2021-01-25 00:00:00,0.7607,0.93,0.7441,0.8088,33689168.33
2021-01-26 00:00:00,0.8101,0.9399,0.7962,0.8941,31171607.92
2021-01-27 00:00:00,0.8949,0.9078,0.7675,0.7986,20907985.92
2021-01-28 00:00:00,0.7985,0.8565,0.7809,0.8163,13258581.97
2021-01-29 00:00:00,0.8165,0.8678,0.7882,0.8025,17024258.59
2021-01-30 00:00:00,0.8025,0.809,0.7459,0.7655,13804878.7
2021-01-31 00:00:00,0.7654,0.7915,0.6988,0.7202,17800001.46
2021-02-01 00:00:00,0.7197,0.7886,0.6863,0.7669,18873235.68
2021-02-02 00:00:00,0.7654,0.802,0.7533,0.7886,13541226.97
2021-02-03 00:00:00,0.7888,0.826,0.7805,0.8069,11017096.21
2021-02-04 00:00:00,0.8069,0.8135,0.7301,0.7617,15151374.39
2021-02-05 00:00:00,0.7617,0.8351,0.7617,0.8324,18741151.33
2021-02-06 00:00:00,0.8325,0.8357,0.7468,0.8262,13232302.46
2021-02-07 00:00:00,0.8266,0.921,0.7721,0.8249,32646344.75
2021-02-08 00:00:00,0.8249,0.865,0.7968,0.8455,16894309.81
2021-02-09 00:00:00,0.8455,0.96,0.83,0.9404,31158963.29
2021-02-10 00:00:00,0.9399,1.395,0.8512,1.227,71850267.58
2021-02-11 00:00:00,1.2278,1.52,1.1784,1.3298,49625410.28
2021-02-12 00:00:00,1.3301,1.5378,1.2,1.4273,33028537.25
2021-02-13 00:00:00,1.4263,1.71,1.3501,1.6156,32971486.36
2021-02-14 00:00:00,1.6203,1.69,1.3942,1.4652,21786834.04
2021-02-15 00:00:00,1.4678,1.9166,1.1843,1.7707,53522417.84
2021-02-16 00:00:00,1.7707,1.9331,1.5887,1.725,32359983.33
2021-02-17 00:00:00,1.725,1.9779,1.63,1.9668,24034566.06
2021-02-18 00:00:00,1.9668,2.345,1.7965,2.2613,40534224.78
2021-02-19 00:00:00,2.2618,2.4799,2.08,2.2766,31095693.93
2021-02-20 00:00:00,2.2724,2.3,1.9234,2.0461,19986259.06
2021-02-21 00:00:00,2.0461,2.1789,1.9478,2.0416,17561387.13
2021-02-22 00:00:00,2.0392,2.0499,1.46,1.8129,37245434.03
2021-02-23 00:00:00,1.8104,1.8276,1.154,1.4568,48081347.66
2021-02-24 00:00:00,1.4588,1.91,1.35,1.6695,35951754.96
2021-02-25 00:00:00,1.6687,1.889,1.5168,1.5406,25201706.99
2021-02-26 00:00:00,1.5406,1.6401,1.4021,1.4844,22515786.84
2021-02-27 00:00:00,1.4839,1.6333,1.4732,1.5276,13957989.25
2021-02-28 00:00:00,1.5283,1.59,1.2937,1.3919,17306272.39
2021-03-01 00:00:00,1.3958,1.7337,1.3832,1.6715,17347419.66
2021-03-02 00:00:00,1.6719,1.78,1.5508,1.661,16562694.18
2021-03-03 00:00:00,1.6581,1.8332,1.6408,1.7768,15832367.88
2021-03-04 00:00:00,1.7768,2.3308,1.7047,1.9399,45533250.77
2021-03-05 00:00:00,1.9365,1.9407,1.7341,1.8595,16775767.29
2021-03-06 00:00:00,1.8598,1.8827,1.7128,1.8405,7744918.78
2021-03-07 00:00:00,1.8415,1.97,1.8411,1.958,9393731.24
2021-03-08 00:00:00,1.9563,1.991,1.789,1.889,14060958.44
2021-03-09 00:00:00,1.8922,2.13,1.8323,1.9806,16912034.62
2021-03-10 00:00:00,1.9824,1.986,1.7938,1.8591,9113955.29
2021-03-11 00:00:00,1.8608,1.9838,1.7979,1.8846,13222750.68
2021-03-12 00:00:00,1.888,1.9056,1.73,1.7958,9932039.26
2021-03-13 00:00:00,1.7938,1.9,1.6942,1.8371,9860188.15
2021-03-14 00:00:00,1.8376,1.8417,1.7203,1.7388,6921947.28
2021-03-15 00:00:00,1.7388,2.1469,1.6001,1.943,32688440.22
2021-03-16 00:00:00,1.9458,2.0758,1.8,1.9204,22643677.65
2021-03-17 00:00:00,1.9205,1.96,1.7841,1.8758,12042479.35
2021-03-18 00:00:00,1.8788,1.993,1.79,1.8669,14779644.62
2021-03-19 00:00:00,1.8675,2.0868,1.8101,1.9662,12621982.55
2021-03-20 00:00:00,1.9673,2.145,1.9182,1.9247,11658393.13
2021-03-21 00:00:00,1.9256,1.9825,1.835,1.937,7458246.06
2021-03-22 00:00:00,1.9347,2.0238,1.8213,1.8366,9572618.8
2021-03-23 00:00:00,1.837,1.9367,1.7462,1.8737,9253161.93
2021-03-24 00:00:00,1.8774,2.173,1.8,1.8979,22812444.93
2021-03-25 00:00:00,1.8924,1.9201,1.7191,1.8076,10621050.32
2021-03-26 00:00:00,1.8099,2.0555,1.7,2.0416,10005548.95
2021-03-27 00:00:00,2.0416,2.268,1.9618,2.1777,17671738.26
2021-03-28 00:00:00,2.1795,2.6714,2.1762,2.3399,33487958.04
2021-03-29 00:00:00,2.34,2.73,2.2397,2.5673,21376724.26
2021-03-30 00:00:00,2.5677,2.8838,2.5182,2.6613,17693575.86
2021-03-31 00:00:00,2.6613,3.2,2.6578,3.0308,29702927.99
2021-04-01 00:00:00,3.0309,3.0531,2.77,2.8069,13169407.76
2021-04-02 00:00:00,2.8068,2.8324,2.628,2.7439,13008125.79
2021-04-03 00:00:00,2.741,2.749,2.4113,2.4666,13395330.68
2021-04-04 00:00:00,2.4686,2.7003,2.4236,2.6105,8779797.33
2021-04-05 00:00:00,2.6105,2.6869,2.4336,2.5272,11785392.64
2021-04-06 00:00:00,2.535,2.6348,2.3444,2.4811,15028881.41
2021-04-07 00:00:00,2.4821,2.54,2.2,2.3141,16398030.06
2021-04-08 00:00:00,2.3107,2.5425,2.2919,2.4822,11024861.0
2021-04-09 00:00:00,2.4821,2.7156,2.4702,2.6295,11940074.16
2021-04-10 00:00:00,2.6334,2.7735,2.4677,2.5537,10614041.78
2021-04-11 00:00:00,2.5537,2.6349,2.442,2.5783,7068492.98
2021-04-12 00:00:00,2.5781,2.85,2.4917,2.6644,19434726.15
2021-04-13 00:00:00,2.6661,2.68,2.5,2.5786,9950600.91
2021-04-14 00:00:00,2.5785,2.5875,2.355,2.5159,9553026.5
2021-04-15 00:00:00,2.5144,2.678,2.4434,2.5585,9875389.35
2021-04-16 00:00:00,2.5606,2.6817,2.4,2.6004,16290410.33
2021-04-17 00:00:00,2.6,2.97,2.6,2.6851,21052815.24
2021-04-18 00:00:00,2.6851,2.7329,1.85,2.354,19444087.54
2021-04-19 00:00:00,2.3545,2.4406,1.9514,2.1366,17702236.41
2021-04-20 00:00:00,2.1369,2.3049,1.878,2.2134,17971700.12
2021-04-21 00:00:00,2.2136,2.35,2.111,2.14,10667272.14
2021-04-22 00:00:00,2.1398,2.26,1.8851,1.9181,15102391.93
2021-04-23 00:00:00,1.9178,1.9767,1.5228,1.8336,23432536.82
2021-04-24 00:00:00,1.8334,1.9,1.6371,1.6537,12272424.9
2021-04-25 00:00:00,1.6555,1.8749,1.5753,1.7332,10698827.66
2021-04-26 00:00:00,1.7332,2.032,1.6906,1.9813,19078774.14
2021-04-27 00:00:00,1.9784,2.3399,1.9247,2.3196,16805402.96
2021-04-28 00:00:00,2.3205,2.3966,2.0578,2.3933,14160247.04
2021-04-29 00:00:00,2.3924,2.4738,2.1879,2.3613,12467458.16
2021-04-30 00:00:00,2.3602,2.7946,2.2982,2.5999,20427402.17
2021-05-01 00:00:00,2.5981,2.717,2.5449,2.6035,8462618.75
2021-05-02 00:00:00,2.6035,2.6329,2.4535,2.5085,7321498.85
2021-05-03 00:00:00,2.508,2.5894,2.4107,2.4556,8226258.43
2021-05-04 00:00:00,2.4555,2.4614,2.1375,2.1529,11420203.4
2021-05-05 00:00:00,2.1536,2.417,2.13,2.3844,11131374.01
2021-05-06 00:00:00,2.3838,2.552,2.2457,2.483,15738815.61
2021-05-07 00:00:00,2.483,3.0959,2.4,2.7322,44670892.67
2021-05-08 00:00:00,2.7323,2.8738,2.573,2.6727,18767086.88
2021-05-09 00:00:00,2.6729,2.6896,2.44,2.6422,11291602.6
2021-05-10 00:00:00,2.6404,2.8726,2.1505,2.2957,23419528.48
2021-05-11 00:00:00,2.2959,2.5495,2.1441,2.5093,25302840.92
2021-05-12 00:00:00,2.5092,2.5794,1.9971,2.0412,16194469.37
2021-05-13 00:00:00,2.0411,2.2656,1.91,2.1,19328968.28
2021-05-14 00:00:00,2.0972,2.2785,2.0563,2.138,12922842.43
2021-05-15 00:00:00,2.138,2.2175,1.9446,2.01,14463974.23
2021-05-16 00:00:00,2.0108,2.25,1.8658,1.9916,14002852.28
2021-05-17 00:00:00,1.9926,2.0294,1.76,1.8558,15323890.21
2021-05-18 00:00:00,1.856,2.025,1.822,1.9111,9864644.06
2021-05-19 00:00:00,1.9106,1.9592,0.8374,1.1823,42322784.38
2021-05-20 00:00:00,1.1765,1.48,1.04,1.3884,23289269.12
2021-05-21 00:00:00,1.39,1.48,1.0703,1.2715,21859901.54
2021-05-22 00:00:00,1.2692,1.2776,1.089,1.1386,15354336.53
2021-05-23 00:00:00,1.1359,1.2306,0.7973,0.9756,31646108.27
2021-05-24 00:00:00,0.9771,1.1929,0.9362,1.1779,16764224.04
2021-05-25 00:00:00,1.174,1.2197,1.0224,1.1406,15935841.24
2021-05-26 00:00:00,1.141,1.341,1.1139,1.3394,19964948.21
2021-05-27 00:00:00,1.3381,1.34,1.1803,1.2327,13858770.29
2021-05-28 00:00:00,1.2327,1.2488,1.0342,1.079,14440063.41
2021-05-29 00:00:00,1.0788,1.16,0.9525,1.0142,11954085.28
2021-05-30 00:00:00,1.0125,1.1078,0.945,1.0584,8840547.18
2021-05-31 00:00:00,1.0577,1.1581,1.0039,1.1341,9921883.24
2021-06-01 00:00:00,1.1341,1.1575,1.0736,1.1483,8858981.8
2021-06-02 00:00:00,1.1487,1.3072,1.111,1.2138,12340003.84
2021-06-03 00:00:00,1.2136,1.3427,1.2063,1.2575,11288035.33
2021-06-04 00:00:00,1.2574,1.2591,1.0863,1.1474,8316868.06
2021-06-05 00:00:00,1.1481,1.2157,1.0631,1.1067,7680327.3
2021-06-06 00:00:00,1.1067,1.1692,1.0952,1.1533,5041350.45
2021-06-07 00:00:00,1.1529,1.23,1.0351,1.0402,11637690.89
2021-06-08 00:00:00,1.0393,1.0646,0.8735,1.0052,17295934.34
2021-06-09 00:00:00,1.004,1.0692,0.9503,1.0451,12464287.93
2021-06-10 00:00:00,1.0442,1.0534,0.9564,0.9849,10119752.99
2021-06-11 00:00:00,0.9853,0.9992,0.875,0.905,10451150.86
2021-06-12 00:00:00,0.9043,0.9222,0.8402,0.8972,12276957.73
2021-06-13 00:00:00,0.8981,0.9482,0.8538,0.9465,8345635.36
2021-06-14 00:00:00,0.9473,0.991,0.9129,0.9871,10232558.97
2021-06-15 00:00:00,0.9852,1.18,0.9718,1.1075,28033423.61
2021-06-16 00:00:00,1.1073,1.1136,0.9934,1.0095,14855718.76
2021-06-17 00:00:00,1.0086,1.161,1.0056,1.0726,18573626.55
2021-06-18 00:00:00,1.0728,1.1102,0.94,0.9871,14161543.06
2021-06-19 00:00:00,0.9863,1.0392,0.94,0.9541,12242999.27
2021-06-20 00:00:00,0.9541,0.9872,0.8698,0.9606,11904542.09
2021-06-21 00:00:00,0.9606,0.9661,0.742,0.7441,18230389.08
2021-06-22 00:00:00,0.7437,0.8656,0.632,0.7093,27992632.63
2021-06-23 00:00:00,0.71,0.8105,0.6824,0.7848,14202634.62
2021-06-24 00:00:00,0.7839,0.83,0.695,0.813,9938543.78
2021-06-25 00:00:00,0.8126,0.8295,0.7131,0.724,12743873.81
2021-06-26 00:00:00,0.7247,0.7555,0.6738,0.7259,11937102.12
2021-06-27 00:00:00,0.7262,0.7482,0.6851,0.7388,8557998.46
2021-06-28 00:00:00,0.7399,0.7733,0.7189,0.7632,13701806.09
2021-06-29 00:00:00,0.7637,0.847,0.7588,0.8184,12143355.45
2021-06-30 00:00:00,0.8198,0.8437,0.75,0.8365,12518112.68
2021-07-01 00:00:00,0.8366,0.8453,0.7733,0.8043,9554425.06
2021-07-02 00:00:00,0.8036,0.82,0.7558,0.8172,4989149.74
2021-07-03 00:00:00,0.8172,0.8385,0.7874,0.8333,5029116.65
2021-07-04 00:00:00,0.833,0.8663,0.7982,0.8507,6533958.53
2021-07-05 00:00:00,0.8492,0.9153,0.7903,0.8979,13794217.15
2021-07-06 00:00:00,0.8986,0.9203,0.856,0.9021,9407376.68
2021-07-07 00:00:00,0.9015,0.9699,0.8719,0.9283,7694732.65
2021-07-08 00:00:00,0.9279,1.0718,0.9013,1.0412,31818282.49
2021-07-09 00:00:00,1.0413,1.0433,0.8941,0.9786,18314044.28
2021-07-10 00:00:00,0.9779,0.978,0.8982,0.9184,7889051.95
2021-07-11 00:00:00,0.9194,0.9536,0.879,0.9519,6821365.2
2021-07-12 00:00:00,0.9517,0.9529,0.8755,0.9104,12831476.27
2021-07-13 00:00:00,0.9093,0.9148,0.8443,0.8598,9410650.54
2021-07-14 00:00:00,0.8598,0.8775,0.7675,0.8336,7666926.64
2021-07-15 00:00:00,0.8326,0.8499,0.7571,0.7868,7816823.69
2021-07-16 00:00:00,0.7878,0.7998,0.7266,0.7371,6535252.21
2021-07-17 00:00:00,0.7374,0.8102,0.72,0.7903,12683974.32
2021-07-18 00:00:00,0.7904,0.8071,0.7577,0.7666,5247305.46
2021-07-19 00:00:00,0.767,0.771,0.718,0.7277,6767530.31
2021-07-20 00:00:00,0.7288,0.7408,0.65,0.6807,7696694.26
2021-07-21 00:00:00,0.6799,0.759,0.6573,0.7456,10425663.59
2021-07-22 00:00:00,0.7452,0.7824,0.7303,0.7708,5422416.97
2021-07-23 00:00:00,0.7711,0.8022,0.7453,0.7982,5088933.35
2021-07-24 00:00:00,0.7973,0.8238,0.7801,0.8075,5333145.86
2021-07-25 00:00:00,0.8079,0.8298,0.775,0.8259,5303832.51
2021-07-26 00:00:00,0.8263,0.8853,0.8185,0.8388,11387780.84
2021-07-27 00:00:00,0.8372,0.8796,0.813,0.8677,6820459.99
2021-07-28 00:00:00,0.8671,0.8829,0.835,0.8683,6116862.18
2021-07-29 00:00:00,0.8685,0.96,0.8477,0.9188,19706916.76
2021-07-30 00:00:00,0.9194,1.0,0.8805,0.9888,13014432.54
2021-07-31 00:00:00,0.9897,1.029,0.9575,1.0024,11391072.97
2021-08-01 00:00:00,1.0019,1.0897,0.9711,0.992,12960985.27
2021-08-02 00:00:00,0.9908,1.0249,0.9437,1.0239,9956100.43
2021-08-03 00:00:00,1.0246,1.0776,0.9554,1.0121,9234386.89
2021-08-04 00:00:00,1.0116,1.049,0.964,1.0489,6394312.6
2021-08-05 00:00:00,1.0487,1.1446,1.0065,1.0637,11676466.08
2021-08-06 00:00:00,1.0633,1.108,1.0363,1.1064,5914583.62
2021-08-07 00:00:00,1.1076,1.1695,1.0771,1.1257,7331317.71
2021-08-08 00:00:00,1.1241,1.1532,1.0384,1.0553,8156850.15
2021-08-09 00:00:00,1.0561,1.1166,1.0042,1.1142,9648287.75
2021-08-10 00:00:00,1.1153,1.1695,1.063,1.1239,10068001.83
2021-08-11 00:00:00,1.1238,1.2496,1.1093,1.1789,15483987.06
2021-08-12 00:00:00,1.1809,1.2377,1.0802,1.1256,10058363.65
2021-08-13 00:00:00,1.1246,1.228,1.1085,1.2274,6049392.15
2021-08-14 00:00:00,1.2274,1.263,1.1704,1.25,8944622.71
2021-08-15 00:00:00,1.2514,1.2866,1.1906,1.26,8869487.31
2021-08-16 00:00:00,1.26,1.3727,1.2421,1.2747,16977605.64
2021-08-17 00:00:00,1.275,1.3166,1.1614,1.1763,13332940.99
2021-08-18 00:00:00,1.1764,1.2074,1.0982,1.1708,7774908.18
2021-08-19 00:00:00,1.1683,1.2735,1.1379,1.2728,8365702.46
2021-08-20 00:00:00,1.2714,1.4899,1.2508,1.4356,15650393.74
2021-08-21 00:00:00,1.4358,1.5149,1.3512,1.4074,17248914.78
2021-08-22 00:00:00,1.4074,1.508,1.3717,1.4833,14259881.6
2021-08-23 00:00:00,1.4848,1.61,1.462,1.5689,17819914.41
2021-08-24 00:00:00,1.5744,1.5745,1.4159,1.4367,15168588.83
2021-08-25 00:00:00,1.4359,1.5218,1.365,1.4938,11518601.82
2021-08-26 00:00:00,1.4917,1.5218,1.301,1.318,9937263.9
2021-08-27 00:00:00,1.32,1.397,1.257,1.397,9850282.86
2021-08-28 00:00:00,1.397,1.426,1.36,1.401,7438661.76
2021-08-29 00:00:00,1.402,1.421,1.331,1.383,7619732.6
2021-08-30 00:00:00,1.384,1.397,1.302,1.321,7818597.4
2021-08-31 00:00:00,1.322,1.381,1.272,1.327,10490196.1
2021-09-01 00:00:00,1.326,1.439,1.283,1.423,15094576.25
2021-09-02 00:00:00,1.423,1.474,1.399,1.447,8406140.23
2021-09-03 00:00:00,1.448,1.585,1.415,1.535,14059367.92
2021-09-04 00:00:00,1.535,1.679,1.526,1.656,11777486.25
2021-09-05 00:00:00,1.657,1.794,1.612,1.79,14177645.35
2021-09-06 00:00:00,1.791,1.839,1.639,1.742,10985237.29
2021-09-07 00:00:00,1.742,1.746,1.165,1.382,20091560.43
2021-09-08 00:00:00,1.381,1.417,1.202,1.404,12618742.8
2021-09-09 00:00:00,1.404,1.657,1.401,1.583,19227772.6
2021-09-10 00:00:00,1.583,2.284,1.577,1.786,72224347.29
2021-09-11 00:00:00,1.786,1.835,1.694,1.746,17001678.4
2021-09-12 00:00:00,1.744,1.89,1.614,1.743,14350435.0
2021-09-13 00:00:00,1.741,1.957,1.521,1.93,23468869.7
2021-09-14 00:00:00,1.927,2.084,1.801,2.074,26986192.1
2021-09-15 00:00:00,2.077,2.22,1.957,2.166,17975984.4
2021-09-16 00:00:00,2.165,2.225,1.985,2.048,13722244.0
2021-09-17 00:00:00,2.047,2.049,1.838,1.877,8648570.0
2021-09-18 00:00:00,1.88,1.999,1.82,1.928,7555126.1
2021-09-19 00:00:00,1.925,1.935,1.771,1.796,4485799.2
2021-09-20 00:00:00,1.797,1.8,1.475,1.661,16871345.5
2021-09-21 00:00:00,1.66,1.7,1.429,1.469,9890262.4
2021-09-22 00:00:00,1.469,1.694,1.43,1.654,8667634.1
2021-09-23 00:00:00,1.657,1.724,1.59,1.706,7179501.6
2021-09-24 00:00:00,1.705,1.772,1.463,1.592,13821577.1
2021-09-25 00:00:00,1.593,1.613,1.512,1.547,4422670.6
2021-09-26 00:00:00,1.544,1.69,1.433,1.64,7825422.6
2021-09-27 00:00:00,1.639,1.663,1.502,1.503,7639827.0
2021-09-28 00:00:00,1.504,1.522,1.399,1.406,6566644.7
2021-09-29 00:00:00,1.406,1.515,1.38,1.431,5446678.8
2021-09-30 00:00:00,1.431,1.558,1.421,1.53,8510800.6
2021-10-01 00:00:00,1.53,2.0,1.522,1.911,28666263.2
2021-10-02 00:00:00,1.912,2.08,1.841,1.948,16647029.2
2021-10-03 00:00:00,1.948,2.359,1.902,2.162,23254160.13
2021-10-04 00:00:00,2.162,2.268,2.039,2.171,15562725.5
2021-10-05 00:00:00,2.173,2.55,2.169,2.295,25514857.34
2021-10-06 00:00:00,2.296,2.331,2.052,2.213,14135175.1
2021-10-07 00:00:00,2.216,2.226,2.082,2.141,7351122.6
2021-10-08 00:00:00,2.144,2.208,2.077,2.132,5161588.4
2021-10-09 00:00:00,2.133,2.231,2.089,2.163,5436307.8
2021-10-10 00:00:00,2.165,2.299,2.09,2.096,7326573.6
2021-10-11 00:00:00,2.096,2.277,2.069,2.151,8083770.6
2021-10-12 00:00:00,2.154,2.155,1.961,2.037,6894436.4
2021-10-13 00:00:00,2.036,2.174,1.999,2.141,6153983.9
2021-10-14 00:00:00,2.141,2.203,2.06,2.09,6014041.8
2021-10-15 00:00:00,2.09,2.091,1.976,2.008,5077790.6
2021-10-16 00:00:00,2.008,2.079,1.983,2.002,3490498.9
2021-10-17 00:00:00,2.003,2.04,1.896,1.946,4390754.3
2021-10-18 00:00:00,1.947,2.159,1.933,2.001,10286793.4
2021-10-19 00:00:00,2.001,2.2,1.983,2.084,9551628.9
2021-10-20 00:00:00,2.085,2.143,2.013,2.111,5347997.6
2021-10-21 00:00:00,2.113,2.17,2.003,2.036,5769511.9
2021-10-22 00:00:00,2.035,2.175,2.031,2.089,5647879.5
2021-10-23 00:00:00,2.088,2.099,2.023,2.07,1935073.8
2021-10-24 00:00:00,2.071,2.075,1.97,2.034,3137895.8
2021-10-25 00:00:00,2.034,2.14,2.024,2.112,5483692.3
2021-10-26 00:00:00,2.113,2.115,2.016,2.045,5065059.1
2021-10-27 00:00:00,2.044,2.067,1.714,1.807,12040835.7
2021-10-28 00:00:00,1.808,1.988,1.794,1.966,5392461.7
2021-10-29 00:00:00,1.963,2.165,1.947,2.087,7723023.3
2021-10-30 00:00:00,2.087,2.249,2.073,2.128,7675247.0
2021-10-31 00:00:00,2.128,2.42,2.081,2.336,13947582.3
2021-11-01 00:00:00,2.333,2.408,2.169,2.34,8201378.9
2021-11-02 00:00:00,2.34,2.506,2.28,2.426,11565181.1
2021-11-03 00:00:00,2.425,2.428,2.172,2.261,10107051.7
2021-11-04 00:00:00,2.261,2.261,2.088,2.155,6764647.1
2021-11-05 00:00:00,2.153,2.189,2.079,2.096,5052166.1
2021-11-06 00:00:00,2.096,2.105,1.975,2.061,3195600.8
2021-11-07 00:00:00,2.062,2.127,2.029,2.038,4177313.1
2021-11-08 00:00:00,2.038,2.161,1.983,2.145,6154760.9
2021-11-09 00:00:00,2.147,2.234,2.114,2.165,7926574.6
2021-11-10 00:00:00,2.166,2.246,1.915,2.027,7912305.2
2021-11-11 00:00:00,2.027,2.129,1.997,2.062,5887837.5
2021-11-12 00:00:00,2.06,2.219,2.04,2.203,8245310.1
2021-11-13 00:00:00,2.201,2.34,2.201,2.308,9557590.2
2021-11-14 00:00:00,2.307,2.49,2.307,2.409,8707242.9
2021-11-15 00:00:00,2.411,2.719,2.392,2.483,17141284.41
2021-11-16 00:00:00,2.483,2.616,2.215,2.318,18705562.2
2021-11-17 00:00:00,2.316,2.342,2.152,2.284,11059056.0
2021-11-18 00:00:00,2.283,2.359,2.024,2.075,13031349.1
2021-11-19 00:00:00,2.075,2.237,1.993,2.192,5806981.7
2021-11-20 00:00:00,2.19,2.22,2.079,2.187,4473429.7
2021-11-21 00:00:00,2.187,2.583,2.106,2.53,11863036.1
2021-11-22 00:00:00,2.53,2.61,2.157,2.177,20614404.3
2021-11-23 00:00:00,2.176,2.204,2.025,2.099,11728361.9
2021-11-24 00:00:00,2.1,2.1,1.912,1.965,7773418.4
2021-11-25 00:00:00,1.965,2.068,1.901,1.999,10615366.7
2021-11-26 00:00:00,1.998,2.0,1.639,1.713,18814793.3
2021-11-27 00:00:00,1.71,1.815,1.699,1.734,7555356.0
2021-11-28 00:00:00,1.734,1.789,1.593,1.754,8872745.2
2021-11-29 00:00:00,1.753,1.815,1.724,1.778,10268457.9
2021-11-30 00:00:00,1.777,1.831,1.7,1.749,6798262.1
2021-12-01 00:00:00,1.748,1.838,1.717,1.763,5493622.8
2021-12-02 00:00:00,1.762,1.771,1.65,1.7,7603542.2
2021-12-03 00:00:00,1.698,1.758,1.553,1.59,7980361.5
2021-12-04 00:00:00,1.588,1.598,1.06,1.337,27810496.4
2021-12-05 00:00:00,1.338,1.36,1.182,1.227,11297999.4
2021-12-06 00:00:00,1.227,1.276,1.066,1.256,14237324.7
2021-12-07 00:00:00,1.257,1.362,1.252,1.29,9218664.9
2021-12-08 00:00:00,1.289,1.39,1.24,1.345,9994547.7
2021-12-09 00:00:00,1.344,1.353,1.191,1.193,7176828.5
2021-12-10 00:00:00,1.193,1.251,1.134,1.141,7654224.0
2021-12-11 00:00:00,1.14,1.205,1.124,1.198,3490566.8
2021-12-12 00:00:00,1.201,1.258,1.17,1.24,3189553.4
2021-12-13 00:00:00,1.239,1.25,1.083,1.095,6246273.1
2021-12-14 00:00:00,1.094,1.211,1.068,1.153,9519290.7
2021-12-15 00:00:00,1.152,1.196,1.065,1.181,7327722.7
2021-12-16 00:00:00,1.183,1.278,1.18,1.201,7538298.1
2021-12-17 00:00:00,1.202,1.25,1.147,1.205,7019774.3
2021-12-18 00:00:00,1.205,1.25,1.175,1.224,4198176.5
2021-12-19 00:00:00,1.225,1.259,1.187,1.203,3807477.0
2021-12-20 00:00:00,1.202,1.246,1.134,1.227,7114498.0
2021-12-21 00:00:00,1.227,1.288,1.205,1.282,4440596.3
2021-12-22 00:00:00,1.282,1.557,1.264,1.486,15859649.8
2021-12-23 00:00:00,1.488,1.55,1.403,1.509,10177854.3
2021-12-24 00:00:00,1.511,1.518,1.431,1.479,6250382.4
2021-12-25 00:00:00,1.483,1.606,1.459,1.544,9355176.4
2021-12-26 00:00:00,1.542,1.569,1.489,1.543,4162119.4
2021-12-27 00:00:00,1.544,1.693,1.517,1.556,14046565.6
2021-12-28 00:00:00,1.555,1.974,1.496,1.786,48799911.9
2021-12-29 00:00:00,1.779,1.8,1.42,1.437,19849663.9
2021-12-30 00:00:00,1.438,1.459,1.245,1.267,36745792.4
2021-12-31 00:00:00,1.266,1.289,1.182,1.223,16506835.6
2022-01-01 00:00:00,1.222,1.255,1.209,1.253,6207839.6
2022-01-02 00:00:00,1.252,1.271,1.212,1.261,6886981.8
2022-01-03 00:00:00,1.261,1.275,1.202,1.222,7532984.8
2022-01-04 00:00:00,1.223,1.233,1.172,1.206,6778308.9
2022-01-05 00:00:00,1.206,1.249,1.044,1.098,14101150.1
2022-01-06 00:00:00,1.098,1.129,1.054,1.118,8356071.5
2022-01-07 00:00:00,1.117,1.121,1.015,1.049,13393813.79
2022-01-08 00:00:00,1.05,1.092,0.953,0.986,8579067.73
2022-01-09 00:00:00,0.985,1.042,0.973,1.015,5415051.8
