Timestamp,Open,High,Low,Close,Volume
2020-06-05 00:00:00,4.779,4.964,4.773,4.883,40057.118
2020-06-06 00:00:00,4.883,4.914,4.79,4.83,26051.502
2020-06-07 00:00:00,4.828,4.828,4.6,4.742,34409.823
2020-06-08 00:00:00,4.73,4.744,4.646,4.719,24234.278
2020-06-09 00:00:00,4.725,4.752,4.596,4.627,25275.2
2020-06-10 00:00:00,4.626,4.875,4.6,4.783,47392.02
2020-06-11 00:00:00,4.783,4.9,4.388,4.439,50534.642
2020-06-12 00:00:00,4.434,4.573,4.393,4.533,21241.976
2020-06-13 00:00:00,4.535,4.79,4.493,4.779,31999.702
2020-06-14 00:00:00,4.78,4.83,4.465,4.551,39687.307
2020-06-15 00:00:00,4.55,4.557,4.261,4.535,53804.957
2020-06-16 00:00:00,4.535,4.584,4.504,4.567,26117.493
2020-06-17 00:00:00,4.567,4.647,4.433,4.51,28447.768
2020-06-18 00:00:00,4.508,4.572,4.46,4.541,35414.282
2020-06-19 00:00:00,4.541,4.597,4.295,4.432,52716.4
2020-06-20 00:00:00,4.428,4.484,4.343,4.403,21463.499
2020-06-21 00:00:00,4.396,4.453,4.37,4.412,14346.951
2020-06-22 00:00:00,4.412,4.7,4.386,4.611,81731.355
2020-06-23 00:00:00,4.612,4.972,4.495,4.738,83021.76
2020-06-24 00:00:00,4.742,4.937,4.448,4.503,54357.728
2020-06-25 00:00:00,4.503,4.673,4.331,4.654,29999.064
2020-06-26 00:00:00,4.654,4.663,4.481,4.51,21328.039
2020-06-27 00:00:00,4.512,4.53,4.208,4.263,12456.028
2020-06-28 00:00:00,4.243,4.306,4.125,4.271,16938.468
2020-06-29 00:00:00,4.262,4.292,4.122,4.276,11569.041
2020-06-30 00:00:00,4.245,4.28,4.19,4.238,10508.149
2020-07-01 00:00:00,4.216,4.271,4.196,4.254,8043.781
2020-07-02 00:00:00,4.251,4.365,4.116,4.19,27720.537
2020-07-03 00:00:00,4.205,4.313,4.17,4.176,11624.225
2020-07-04 00:00:00,4.176,4.24,4.119,4.216,18208.114
2020-07-05 00:00:00,4.216,4.222,4.114,4.129,10171.212
2020-07-06 00:00:00,4.142,4.33,4.121,4.33,43262.246
2020-07-07 00:00:00,4.33,4.499,4.316,4.407,55052.652
2020-07-08 00:00:00,4.407,4.77,4.39,4.712,61808.395
2020-07-09 00:00:00,4.712,5.019,4.62,4.939,80900.601
2020-07-10 00:00:00,4.928,9.22,4.783,5.536,415142.485
2020-07-11 00:00:00,5.549,5.896,5.273,5.404,137438.224
2020-07-12 00:00:00,5.402,5.426,5.072,5.276,67979.318
2020-07-13 00:00:00,5.275,5.841,5.246,5.664,144333.746
2020-07-14 00:00:00,5.664,5.664,5.244,5.52,57184.993
2020-07-15 00:00:00,5.51,5.556,5.275,5.416,61638.734
2020-07-16 00:00:00,5.416,5.51,4.95,5.149,89296.399
2020-07-17 00:00:00,5.148,5.439,5.046,5.26,43101.065
2020-07-18 00:00:00,5.26,5.35,5.213,5.248,30690.052
2020-07-19 00:00:00,5.224,5.268,5.01,5.166,50590.656
2020-07-20 00:00:00,5.169,6.47,5.144,5.337,96969.916
2020-07-21 00:00:00,5.336,6.025,5.2,5.96,120973.213
2020-07-22 00:00:00,5.988,6.188,5.756,5.926,82135.327
2020-07-23 00:00:00,5.926,6.289,5.82,6.031,75174.945
2020-07-24 00:00:00,6.029,6.031,5.792,5.86,48740.141
2020-07-25 00:00:00,5.876,5.984,5.8,5.831,43295.922
2020-07-26 00:00:00,5.84,6.099,5.666,5.692,86307.026
2020-07-27 00:00:00,5.692,5.833,5.3,5.62,120349.484
2020-07-28 00:00:00,5.648,5.751,5.475,5.575,58792.652
2020-07-29 00:00:00,5.573,5.71,5.49,5.582,48657.113
2020-07-30 00:00:00,5.582,5.694,5.47,5.548,35034.013
2020-07-31 00:00:00,5.533,5.65,5.465,5.635,29833.552
2020-08-01 00:00:00,5.648,6.909,5.598,6.792,262016.639
2020-08-02 00:00:00,6.792,7.433,5.661,6.302,225799.44
2020-08-03 00:00:00,6.285,6.768,6.151,6.516,89107.628
2020-08-04 00:00:00,6.549,6.725,6.269,6.454,72208.297
2020-08-05 00:00:00,6.478,6.94,6.435,6.829,87351.271
2020-08-06 00:00:00,6.849,7.73,6.741,7.357,132911.889
2020-08-07 00:00:00,7.309,7.78,6.723,7.077,102985.601
2020-08-08 00:00:00,7.046,8.269,7.013,8.269,194438.087
2020-08-09 00:00:00,8.264,8.296,7.492,7.613,120111.284
2020-08-10 00:00:00,7.609,7.652,7.326,7.409,181562.512
2020-08-11 00:00:00,7.409,7.465,6.506,6.812,172525.076
2020-08-12 00:00:00,6.838,7.206,6.459,7.127,105299.634
2020-08-13 00:00:00,7.128,7.549,6.85,7.549,118677.448
2020-08-14 00:00:00,7.549,7.636,6.964,7.121,88142.145
2020-08-15 00:00:00,7.121,7.142,6.6,6.847,112133.948
2020-08-16 00:00:00,6.847,7.031,6.7,6.868,78646.536
2020-08-17 00:00:00,6.868,7.015,6.752,6.868,109595.08
2020-08-18 00:00:00,6.87,7.137,6.631,6.767,80944.325
2020-08-19 00:00:00,6.769,6.87,6.163,6.51,101914.368
2020-08-20 00:00:00,6.51,6.841,6.16,6.798,54106.493
2020-08-21 00:00:00,6.798,7.202,6.55,6.622,128461.869
2020-08-22 00:00:00,6.622,7.15,6.347,6.984,102781.293
2020-08-23 00:00:00,6.961,7.199,6.62,6.7,68864.449
2020-08-24 00:00:00,6.675,6.806,6.549,6.623,88190.962
2020-08-25 00:00:00,6.621,6.649,6.005,6.216,75812.34
2020-08-26 00:00:00,6.19,6.422,6.085,6.312,45862.459
2020-08-27 00:00:00,6.301,6.323,5.73,5.968,64228.725
2020-08-28 00:00:00,5.94,6.284,5.838,6.148,41522.297
2020-08-29 00:00:00,6.148,6.387,6.074,6.369,54035.012
2020-08-30 00:00:00,6.36,6.732,6.305,6.542,67475.265
2020-08-31 00:00:00,6.558,6.618,6.28,6.314,56871.882
2020-09-01 00:00:00,6.31,6.72,6.213,6.263,77599.516
2020-09-02 00:00:00,6.26,6.4,4.31,5.835,108175.128
2020-09-03 00:00:00,5.836,5.88,4.32,4.498,127399.159
2020-09-04 00:00:00,4.517,4.82,4.32,4.677,133039.49
2020-09-05 00:00:00,4.677,5.683,3.953,4.39,126174.938
2020-09-06 00:00:00,4.385,4.787,4.17,4.556,83431.655
2020-09-07 00:00:00,4.534,4.958,4.114,4.775,146672.215
2020-09-08 00:00:00,4.781,5.0,4.51,4.854,167070.469
2020-09-09 00:00:00,4.846,5.1,4.602,4.822,113683.197
2020-09-10 00:00:00,4.843,5.429,4.843,5.289,197558.56
2020-09-11 00:00:00,5.306,5.384,4.84,5.289,98722.306
2020-09-12 00:00:00,5.291,5.355,5.065,5.32,68992.603
2020-09-13 00:00:00,5.307,5.321,4.74,4.942,127247.918
2020-09-14 00:00:00,4.955,5.149,4.828,4.9,82070.29
2020-09-15 00:00:00,4.905,5.0,4.531,4.56,77912.944
2020-09-16 00:00:00,4.547,4.745,4.264,4.574,70695.614
2020-09-17 00:00:00,4.571,4.758,4.507,4.606,44378.203
2020-09-18 00:00:00,4.611,4.66,4.359,4.422,46931.198
2020-09-19 00:00:00,4.414,4.46,4.274,4.304,43496.354
2020-09-20 00:00:00,4.304,4.337,4.192,4.29,35543.846
2020-09-21 00:00:00,4.278,4.396,3.701,3.861,97369.019
2020-09-22 00:00:00,3.856,4.149,3.813,4.037,34477.393
2020-09-23 00:00:00,4.022,4.127,3.684,3.733,47134.205
2020-09-24 00:00:00,3.749,4.002,3.713,4.001,40979.537
2020-09-25 00:00:00,4.005,4.222,3.851,4.183,66301.943
2020-09-26 00:00:00,4.173,4.185,4.039,4.085,27260.045
2020-09-27 00:00:00,4.087,4.15,3.935,3.979,22034.177
2020-09-28 00:00:00,3.99,4.05,3.84,3.854,38318.067
2020-09-29 00:00:00,3.848,3.941,3.8,3.941,37107.638
2020-09-30 00:00:00,3.946,4.133,3.84,4.016,61195.409
2020-10-01 00:00:00,4.023,4.209,3.776,3.912,125598.234
2020-10-02 00:00:00,3.903,4.004,3.664,3.756,57396.477
2020-10-03 00:00:00,3.756,3.834,3.712,3.775,15578.295
2020-10-04 00:00:00,3.775,3.848,3.761,3.826,13637.801
2020-10-05 00:00:00,3.839,4.01,3.83,3.928,29283.724
2020-10-06 00:00:00,3.929,3.966,3.661,3.681,29980.344
2020-10-07 00:00:00,3.682,3.682,3.477,3.633,34680.393
2020-10-08 00:00:00,3.639,3.731,3.515,3.637,28642.98
2020-10-09 00:00:00,3.659,3.799,3.63,3.755,24127.42
2020-10-10 00:00:00,3.755,3.843,3.705,3.788,43277.004
2020-10-11 00:00:00,3.773,4.066,3.751,4.008,57855.284
2020-10-12 00:00:00,4.01,4.7,3.965,4.283,223833.458
2020-10-13 00:00:00,4.278,5.165,4.178,4.267,240054.289
2020-10-14 00:00:00,4.26,4.33,3.958,4.029,63498.09
2020-10-15 00:00:00,4.008,4.159,3.907,4.018,45710.011
2020-10-16 00:00:00,3.991,4.039,3.749,3.889,41478.593
2020-10-17 00:00:00,3.862,3.95,3.832,3.888,17138.033
2020-10-18 00:00:00,3.888,4.0,3.873,3.974,22253.511
2020-10-19 00:00:00,3.973,3.975,3.821,3.881,29802.107
2020-10-20 00:00:00,3.88,3.985,3.704,3.717,48810.755
2020-10-21 00:00:00,3.717,4.0,3.697,3.769,55999.378
2020-10-22 00:00:00,3.776,4.139,3.776,4.049,61720.81
2020-10-23 00:00:00,4.072,4.28,4.005,4.07,86147.127
2020-10-24 00:00:00,4.073,4.278,4.053,4.112,57223.426
2020-10-25 00:00:00,4.112,4.6,4.086,4.245,76087.255
2020-10-26 00:00:00,4.257,4.314,3.772,3.876,138422.819
2020-10-27 00:00:00,3.899,4.164,3.732,3.782,173636.174
2020-10-28 00:00:00,3.789,3.85,3.5,3.537,107217.282
2020-10-29 00:00:00,3.524,3.617,3.351,3.415,46927.231
2020-10-30 00:00:00,3.395,3.432,3.0,3.223,123507.681
2020-10-31 00:00:00,3.222,3.31,3.01,3.025,44386.522
2020-11-01 00:00:00,3.025,3.135,3.0,3.06,33213.417
2020-11-02 00:00:00,3.061,3.387,3.0,3.048,159147.03
2020-11-03 00:00:00,3.048,3.066,2.75,2.79,111800.695
2020-11-04 00:00:00,2.785,2.888,2.704,2.832,53335.428
2020-11-05 00:00:00,2.848,3.011,2.772,2.998,74752.338
2020-11-06 00:00:00,2.997,3.299,2.97,3.28,78659.001
2020-11-07 00:00:00,3.292,3.647,3.179,3.277,167095.981
2020-11-08 00:00:00,3.284,3.357,3.212,3.285,38937.647
2020-11-09 00:00:00,3.284,3.388,3.142,3.302,64196.839
2020-11-10 00:00:00,3.302,3.35,3.184,3.301,54121.942
2020-11-11 00:00:00,3.3,3.489,3.266,3.284,89433.736
2020-11-12 00:00:00,3.277,3.329,3.147,3.179,57436.55
2020-11-13 00:00:00,3.179,3.271,3.166,3.22,34128.655
2020-11-14 00:00:00,3.22,3.308,3.08,3.292,68027.932
2020-11-15 00:00:00,3.292,3.427,3.2,3.268,82678.179
2020-11-16 00:00:00,3.269,3.3,3.169,3.252,77764.944
2020-11-17 00:00:00,3.253,3.391,3.253,3.337,85133.489
2020-11-18 00:00:00,3.337,3.343,3.021,3.172,123973.815
2020-11-19 00:00:00,3.173,3.191,3.024,3.11,48872.602
2020-11-20 00:00:00,3.114,3.32,3.086,3.259,65843.349
2020-11-21 00:00:00,3.259,3.7,3.242,3.661,131282.775
2020-11-22 00:00:00,3.657,3.718,3.3,3.431,122016.207
2020-11-23 00:00:00,3.43,4.36,3.385,4.099,346277.105
2020-11-24 00:00:00,4.084,4.97,3.84,4.676,420209.008
2020-11-25 00:00:00,4.675,4.913,4.144,4.236,283790.484
2020-11-26 00:00:00,4.236,4.399,3.424,3.702,297597.776
2020-11-27 00:00:00,3.702,4.049,3.6,3.872,133644.829
2020-11-28 00:00:00,3.889,4.86,3.889,4.317,595984.533
2020-11-29 00:00:00,4.317,4.701,4.24,4.459,208126.031
2020-11-30 00:00:00,4.443,4.665,4.03,4.33,303196.125
2020-12-01 00:00:00,4.33,4.6,3.925,4.112,176558.483
2020-12-02 00:00:00,4.119,4.265,4.05,4.115,56140.42
2020-12-03 00:00:00,4.115,4.6,4.093,4.262,174301.494
2020-12-04 00:00:00,4.259,4.346,4.015,4.041,69992.481
2020-12-05 00:00:00,4.041,4.201,3.98,4.2,49822.564
2020-12-06 00:00:00,4.184,4.234,3.919,3.963,67267.233
2020-12-07 00:00:00,3.97,4.093,3.82,3.849,78726.116
2020-12-08 00:00:00,3.843,3.878,3.588,3.588,82788.531
2020-12-09 00:00:00,3.588,3.747,3.492,3.705,67812.161
2020-12-10 00:00:00,3.709,3.709,3.419,3.476,74690.476
2020-12-11 00:00:00,3.476,3.476,3.171,3.29,78379.077
2020-12-12 00:00:00,3.289,3.416,3.28,3.337,74677.103
2020-12-13 00:00:00,3.336,3.48,3.282,3.425,79235.052
2020-12-14 00:00:00,3.425,3.49,3.351,3.37,31083.651
2020-12-15 00:00:00,3.357,4.0,3.351,3.564,249150.121
2020-12-16 00:00:00,3.58,4.1,3.516,3.723,367992.149
2020-12-17 00:00:00,3.723,3.966,3.55,3.607,647892.459
2020-12-18 00:00:00,3.606,3.801,3.55,3.684,107843.137
2020-12-19 00:00:00,3.695,3.998,3.63,3.749,193676.335
2020-12-20 00:00:00,3.749,3.85,3.601,3.672,96673.749
2020-12-21 00:00:00,3.661,3.875,3.41,3.492,127586.871
2020-12-22 00:00:00,3.497,3.57,3.351,3.538,93675.499
2020-12-23 00:00:00,3.531,3.537,2.768,2.87,341640.996
2020-12-24 00:00:00,2.87,3.362,2.847,3.332,235428.307
2020-12-25 00:00:00,3.34,3.392,3.179,3.251,80040.371
2020-12-26 00:00:00,3.242,3.365,3.142,3.337,76466.674
2020-12-27 00:00:00,3.337,3.865,3.288,3.569,250712.702
2020-12-28 00:00:00,3.562,3.699,3.359,3.393,123322.9
2020-12-29 00:00:00,3.387,3.446,3.142,3.223,134127.139
2020-12-30 00:00:00,3.223,3.339,3.146,3.213,70320.113
2020-12-31 00:00:00,3.213,3.44,3.1,3.374,84759.262
2021-01-01 00:00:00,3.374,3.436,3.0,3.046,175746.387
2021-01-02 00:00:00,3.059,3.067,2.9,3.026,220527.688
2021-01-03 00:00:00,3.027,3.095,2.851,2.879,194607.112
2021-01-04 00:00:00,2.91,3.079,2.75,2.916,272030.846
2021-01-05 00:00:00,2.934,3.059,2.8,2.965,195561.531
2021-01-06 00:00:00,2.949,3.206,2.931,3.144,220912.376
2021-01-07 00:00:00,3.155,4.046,3.11,3.448,409000.058
2021-01-08 00:00:00,3.449,4.0,3.11,3.811,595281.32
2021-01-09 00:00:00,3.827,4.076,3.512,3.997,281505.292
2021-01-10 00:00:00,3.996,4.74,3.777,4.138,760753.136
2021-01-11 00:00:00,4.128,4.7,3.49,3.964,675873.054
2021-01-12 00:00:00,3.972,4.386,3.7,3.771,303375.324
2021-01-13 00:00:00,3.772,4.51,3.666,4.218,251491.854
2021-01-14 00:00:00,4.218,4.303,3.864,4.004,207167.623
2021-01-15 00:00:00,4.028,4.31,3.71,4.044,383180.233
2021-01-16 00:00:00,4.045,4.729,3.9,4.657,377590.101
2021-01-17 00:00:00,4.622,6.979,4.33,6.261,1530140.921
2021-01-18 00:00:00,6.287,9.677,5.695,6.301,1817262.86
2021-01-19 00:00:00,6.301,6.664,5.24,5.445,2206024.769
2021-01-20 00:00:00,5.44,5.49,4.644,5.1,901454.604
2021-01-21 00:00:00,5.101,5.196,4.117,4.22,386349.217
2021-01-22 00:00:00,4.22,4.573,3.9,4.28,326491.372
2021-01-23 00:00:00,4.258,4.607,4.21,4.326,194421.774
2021-01-24 00:00:00,4.347,4.468,4.17,4.348,201677.775
2021-01-25 00:00:00,4.347,4.481,4.284,4.446,44584.572
