Timestamp,Open,High,Low,Close,Volume
2020-03-05 00:00:00,0.23449,0.2432,0.23449,0.23909,130944711.9
2020-03-06 00:00:00,0.23907,0.24629,0.23804,0.24477,116563269.6
2020-03-07 00:00:00,0.24475,0.245,0.235,0.23622,95845464.2
2020-03-08 00:00:00,0.23624,0.23624,0.2,0.20385,271417418.6
2020-03-09 00:00:00,0.20387,0.2115,0.19787,0.20952,288610509.4
2020-03-10 00:00:00,0.20946,0.21567,0.19979,0.21185,182259714.8
2020-03-11 00:00:00,0.21181,0.2138,0.199,0.20813,178652631.5
2020-03-12 00:00:00,0.20824,0.20988,0.12798,0.13549,771225355.4
2020-03-13 00:00:00,0.13536,0.16614,0.10129,0.15872,1234550066.8
2020-03-14 00:00:00,0.15875,0.161,0.14351,0.14588,317354167.4
2020-03-15 00:00:00,0.1459,0.16422,0.14449,0.15308,292888161.2
2020-03-16 00:00:00,0.15306,0.15338,0.12815,0.14102,534401535.9
2020-03-17 00:00:00,0.1411,0.1519,0.13962,0.14694,317550005.4
2020-03-18 00:00:00,0.14691,0.14938,0.14001,0.1476,233087384.9
2020-03-19 00:00:00,0.14749,0.17257,0.14428,0.1646,357277613.5
2020-03-20 00:00:00,0.16458,0.175,0.14504,0.15695,511513197.8
2020-03-21 00:00:00,0.15705,0.16196,0.15156,0.15797,270014080.0
2020-03-22 00:00:00,0.15798,0.16178,0.14611,0.14776,221088260.9
2020-03-23 00:00:00,0.14774,0.16163,0.14472,0.15854,282036084.3
2020-03-24 00:00:00,0.15853,0.16387,0.15689,0.16225,250519379.8
2020-03-25 00:00:00,0.16229,0.16524,0.15667,0.16168,200584719.2
2020-03-26 00:00:00,0.1617,0.17742,0.15984,0.17593,206023274.9
2020-03-27 00:00:00,0.17591,0.18724,0.16936,0.17269,316147728.4
2020-03-28 00:00:00,0.17271,0.17984,0.16637,0.17543,308477933.9
2020-03-29 00:00:00,0.1754,0.1767,0.16184,0.16278,187119450.1
2020-03-30 00:00:00,0.16279,0.17546,0.16242,0.17112,181804091.3
2020-03-31 00:00:00,0.17109,0.17789,0.17044,0.17353,158613778.6
2020-04-01 00:00:00,0.17359,0.1763,0.16783,0.17494,184017110.9
2020-04-02 00:00:00,0.17497,0.1865,0.17384,0.17828,223398206.0
2020-04-03 00:00:00,0.17828,0.18277,0.17568,0.17957,170663444.5
2020-04-04 00:00:00,0.17956,0.18365,0.1777,0.18114,117148787.3
2020-04-05 00:00:00,0.18114,0.18206,0.17627,0.17925,83641306.3
2020-04-06 00:00:00,0.17927,0.19834,0.17917,0.19803,225433233.4
2020-04-07 00:00:00,0.198,0.20519,0.18986,0.19285,271460619.0
2020-04-08 00:00:00,0.19283,0.20294,0.19155,0.20192,154841655.0
2020-04-09 00:00:00,0.20192,0.20231,0.1938,0.19829,104421253.8
2020-04-10 00:00:00,0.19826,0.19872,0.18119,0.18758,160752187.0
2020-04-11 00:00:00,0.1876,0.19213,0.185,0.1885,100598265.9
2020-04-12 00:00:00,0.18848,0.19567,0.18616,0.18939,129786730.4
2020-04-13 00:00:00,0.18932,0.18947,0.18011,0.18763,158956441.4
2020-04-14 00:00:00,0.18764,0.18931,0.18313,0.18613,93684121.1
2020-04-15 00:00:00,0.18605,0.18973,0.18,0.1805,121466630.1
2020-04-16 00:00:00,0.1805,0.19399,0.174,0.19053,220290862.9
2020-04-17 00:00:00,0.1905,0.19185,0.18618,0.18863,91976842.0
2020-04-18 00:00:00,0.18863,0.19715,0.18838,0.19544,113765553.3
2020-04-19 00:00:00,0.19539,0.19638,0.18772,0.18901,89989794.3
2020-04-20 00:00:00,0.18892,0.19453,0.17821,0.18151,174028243.0
2020-04-21 00:00:00,0.18147,0.18637,0.18109,0.18341,111773322.9
2020-04-22 00:00:00,0.18342,0.18964,0.18202,0.18804,93916879.3
2020-04-23 00:00:00,0.18803,0.19951,0.18558,0.1926,179113808.3
2020-04-24 00:00:00,0.19261,0.19695,0.19197,0.19325,113830925.1
2020-04-25 00:00:00,0.19327,0.19776,0.1916,0.19418,78779257.1
2020-04-26 00:00:00,0.19414,0.19775,0.19133,0.19618,93225699.4
2020-04-27 00:00:00,0.1962,0.19979,0.19407,0.19747,104536714.3
2020-04-28 00:00:00,0.1975,0.21806,0.19459,0.21416,244843302.1
2020-04-29 00:00:00,0.21415,0.23075,0.20981,0.22648,292096742.3
2020-04-30 00:00:00,0.22644,0.2359,0.20816,0.21135,314088335.1
2020-05-01 00:00:00,0.21135,0.22418,0.21117,0.21786,160339801.0
2020-05-02 00:00:00,0.21785,0.22575,0.21534,0.22369,119932182.7
2020-05-03 00:00:00,0.22377,0.22667,0.2154,0.21936,111226961.6
2020-05-04 00:00:00,0.21936,0.22057,0.20713,0.21776,166756745.3
2020-05-05 00:00:00,0.21777,0.22213,0.21316,0.21688,106925948.7
2020-05-06 00:00:00,0.21688,0.2224,0.21029,0.21158,131362572.4
2020-05-07 00:00:00,0.21172,0.2211,0.20934,0.21862,175859218.0
2020-05-08 00:00:00,0.2186,0.22199,0.21423,0.21865,133922204.4
2020-05-09 00:00:00,0.21865,0.225,0.21554,0.21642,159019230.1
2020-05-10 00:00:00,0.21642,0.21651,0.178,0.19702,310627388.1
2020-05-11 00:00:00,0.19708,0.20031,0.184,0.19254,188926069.2
2020-05-12 00:00:00,0.19254,0.2001,0.19128,0.19711,120759033.7
2020-05-13 00:00:00,0.1971,0.20429,0.19564,0.20177,95212470.1
2020-05-14 00:00:00,0.20176,0.20636,0.19838,0.20386,123608208.0
2020-05-15 00:00:00,0.20379,0.20467,0.19505,0.19818,142260472.9
2020-05-16 00:00:00,0.19818,0.2025,0.19664,0.19969,94327453.0
2020-05-17 00:00:00,0.19969,0.20465,0.19889,0.20131,85924995.0
2020-05-18 00:00:00,0.20132,0.20805,0.2007,0.20543,129797461.7
2020-05-19 00:00:00,0.20537,0.20668,0.20087,0.20496,99600289.0
2020-05-20 00:00:00,0.20486,0.20624,0.1975,0.20179,106603358.1
2020-05-21 00:00:00,0.20178,0.20305,0.18928,0.19434,119870681.6
2020-05-22 00:00:00,0.19434,0.2025,0.19212,0.20034,134747810.6
2020-05-23 00:00:00,0.20032,0.20216,0.19793,0.19883,88342183.6
2020-05-24 00:00:00,0.19883,0.20122,0.19222,0.19256,88708243.7
2020-05-25 00:00:00,0.19263,0.19719,0.18972,0.19622,96947010.8
2020-05-26 00:00:00,0.19622,0.19695,0.19139,0.19372,91454592.2
2020-05-27 00:00:00,0.19371,0.20048,0.19355,0.19791,99410860.4
2020-05-28 00:00:00,0.19792,0.20095,0.19502,0.20052,110627844.2
2020-05-29 00:00:00,0.20052,0.20292,0.19622,0.19759,98632638.4
2020-05-30 00:00:00,0.19762,0.208,0.19596,0.20701,155426836.0
2020-05-31 00:00:00,0.207,0.21356,0.20026,0.20245,180118253.6
2020-06-01 00:00:00,0.20241,0.21268,0.20112,0.211,157851522.0
2020-06-02 00:00:00,0.21093,0.2147,0.1961,0.20301,203819088.3
2020-06-03 00:00:00,0.20294,0.20487,0.2008,0.2041,102410983.8
2020-06-04 00:00:00,0.20413,0.20724,0.19957,0.20427,126378226.8
2020-06-05 00:00:00,0.20432,0.20585,0.20129,0.20274,98700901.5
2020-06-06 00:00:00,0.20274,0.20484,0.20125,0.20361,79279154.8
2020-06-07 00:00:00,0.2036,0.20496,0.19839,0.20329,93329744.2
2020-06-08 00:00:00,0.20327,0.20444,0.20116,0.20403,63036054.2
2020-06-09 00:00:00,0.20406,0.20528,0.2,0.20127,81665800.9
2020-06-10 00:00:00,0.20135,0.20388,0.1985,0.20266,75706855.2
2020-06-11 00:00:00,0.20266,0.2036,0.1846,0.18817,132263967.7
2020-06-12 00:00:00,0.18823,0.19505,0.1869,0.19307,75546910.5
2020-06-13 00:00:00,0.19308,0.19379,0.19076,0.19234,63292600.9
2020-06-14 00:00:00,0.19238,0.19249,0.1887,0.19022,58429094.7
2020-06-15 00:00:00,0.19022,0.19344,0.18202,0.19238,130419971.5
2020-06-16 00:00:00,0.19238,0.19404,0.19007,0.19238,76442039.8
2020-06-17 00:00:00,0.19236,0.19895,0.18846,0.19315,143789678.4
2020-06-18 00:00:00,0.19315,0.19325,0.18802,0.18975,83020048.8
2020-06-19 00:00:00,0.18975,0.19036,0.18658,0.18722,101395871.0
2020-06-20 00:00:00,0.18724,0.18897,0.18488,0.18792,65244804.2
2020-06-21 00:00:00,0.18793,0.18848,0.18565,0.18602,66591992.6
2020-06-22 00:00:00,0.18602,0.19051,0.18569,0.18928,121678902.8
2020-06-23 00:00:00,0.18933,0.19042,0.18831,0.18889,80442337.3
2020-06-24 00:00:00,0.18889,0.19016,0.1799,0.18348,99814387.3
2020-06-25 00:00:00,0.18344,0.18414,0.17849,0.18156,83471401.8
2020-06-26 00:00:00,0.18156,0.18694,0.17848,0.18249,134171894.1
2020-06-27 00:00:00,0.18247,0.1835,0.169,0.17509,100119859.4
2020-06-28 00:00:00,0.1751,0.17983,0.17337,0.17693,79916984.6
2020-06-29 00:00:00,0.17694,0.17939,0.17487,0.17726,108091794.8
2020-06-30 00:00:00,0.17737,0.17775,0.17487,0.17533,63769127.0
2020-07-01 00:00:00,0.17533,0.17814,0.17373,0.17647,96697381.8
2020-07-02 00:00:00,0.17645,0.1777,0.172,0.17477,109348977.7
2020-07-03 00:00:00,0.17476,0.17865,0.1743,0.1762,93559429.8
2020-07-04 00:00:00,0.17618,0.17964,0.17593,0.17808,101070772.2
2020-07-05 00:00:00,0.1781,0.1788,0.17372,0.17695,109028272.5
2020-07-06 00:00:00,0.17691,0.18934,0.17644,0.18875,180480180.6
2020-07-07 00:00:00,0.18876,0.18969,0.18312,0.18508,119136986.1
2020-07-08 00:00:00,0.18508,0.20669,0.18382,0.20551,340558574.1
2020-07-09 00:00:00,0.20544,0.21186,0.19667,0.20263,366287583.8
2020-07-10 00:00:00,0.20263,0.20272,0.19252,0.19909,212898090.1
2020-07-11 00:00:00,0.19906,0.20482,0.19792,0.2011,171252017.6
2020-07-12 00:00:00,0.20112,0.20401,0.19758,0.20128,123496702.1
2020-07-13 00:00:00,0.20122,0.2066,0.191,0.19867,210692216.4
2020-07-14 00:00:00,0.19866,0.19978,0.195,0.19909,126120726.2
2020-07-15 00:00:00,0.19908,0.1999,0.19635,0.19721,97567941.8
2020-07-16 00:00:00,0.19722,0.19756,0.18822,0.19444,154403446.1
2020-07-17 00:00:00,0.19447,0.19824,0.19125,0.1944,119390267.7
2020-07-18 00:00:00,0.19441,0.20203,0.19392,0.1999,125668578.9
2020-07-19 00:00:00,0.19989,0.20205,0.19574,0.19956,117946275.3
2020-07-20 00:00:00,0.19961,0.20019,0.19194,0.19465,114187102.0
2020-07-21 00:00:00,0.19465,0.201,0.19386,0.19949,116436628.1
2020-07-22 00:00:00,0.19946,0.20441,0.196,0.20348,127274412.3
2020-07-23 00:00:00,0.20351,0.21584,0.20142,0.20851,231892970.4
2020-07-24 00:00:00,0.20847,0.20855,0.20189,0.20392,162043579.9
2020-07-25 00:00:00,0.20393,0.21756,0.2035,0.21463,237958032.7
2020-07-26 00:00:00,0.21462,0.22499,0.21255,0.21532,277074358.0
2020-07-27 00:00:00,0.21528,0.23,0.20861,0.22437,358365289.2
2020-07-28 00:00:00,0.22445,0.23476,0.217,0.23029,348097855.6
2020-07-29 00:00:00,0.23031,0.25,0.22919,0.24327,423604274.8
2020-07-30 00:00:00,0.24323,0.24954,0.233,0.24408,339560922.2
2020-07-31 00:00:00,0.24407,0.26042,0.24158,0.25939,295712939.1
2020-08-01 00:00:00,0.25938,0.29739,0.25557,0.29089,698526256.7
2020-08-02 00:00:00,0.29089,0.32628,0.2476,0.28803,1089709098.7
2020-08-03 00:00:00,0.28809,0.31999,0.28357,0.31016,661998402.4
2020-08-04 00:00:00,0.31008,0.31926,0.29038,0.30138,523509311.0
2020-08-05 00:00:00,0.30137,0.30813,0.2908,0.30228,377922454.8
2020-08-06 00:00:00,0.30233,0.31126,0.29722,0.30311,315511639.9
2020-08-07 00:00:00,0.30309,0.31037,0.27936,0.29437,350058017.3
2020-08-08 00:00:00,0.29444,0.2987,0.2898,0.29527,180632239.2
2020-08-09 00:00:00,0.29532,0.29839,0.28215,0.2879,194741043.2
2020-08-10 00:00:00,0.28792,0.30008,0.28301,0.29469,357730182.0
2020-08-11 00:00:00,0.29468,0.30736,0.26727,0.2831,454328410.0
2020-08-12 00:00:00,0.28308,0.28737,0.27139,0.28233,301659248.8
2020-08-13 00:00:00,0.28233,0.29561,0.27243,0.2942,343559052.2
2020-08-14 00:00:00,0.2942,0.3073,0.28918,0.29995,419013955.8
2020-08-15 00:00:00,0.29995,0.30537,0.2907,0.29884,323612283.2
2020-08-16 00:00:00,0.2989,0.3048,0.29186,0.30455,272817352.5
2020-08-17 00:00:00,0.3046,0.32689,0.29702,0.31539,598471473.5
2020-08-18 00:00:00,0.31535,0.32156,0.29614,0.30251,406775389.7
2020-08-19 00:00:00,0.3025,0.30616,0.27809,0.28975,390658603.2
2020-08-20 00:00:00,0.28969,0.29465,0.28431,0.29218,217335773.0
2020-08-21 00:00:00,0.29217,0.29585,0.27671,0.27933,295142831.1
2020-08-22 00:00:00,0.27935,0.28663,0.2733,0.28592,200686126.8
2020-08-23 00:00:00,0.28589,0.28808,0.27698,0.2848,147758018.4
2020-08-24 00:00:00,0.2848,0.292,0.28224,0.2884,163849857.2
2020-08-25 00:00:00,0.2884,0.28959,0.27,0.27625,234190707.5
2020-08-26 00:00:00,0.27628,0.28078,0.2739,0.27653,153029000.5
2020-08-27 00:00:00,0.27645,0.27833,0.25453,0.26469,271350415.9
2020-08-28 00:00:00,0.26478,0.2732,0.26,0.27174,161315866.7
2020-08-29 00:00:00,0.27166,0.27685,0.26865,0.2738,120917456.4
2020-08-30 00:00:00,0.27375,0.28389,0.27375,0.28302,157541548.0
2020-08-31 00:00:00,0.28302,0.2845,0.27804,0.28115,164541572.9
2020-09-01 00:00:00,0.28115,0.29884,0.27574,0.29521,292160051.6
2020-09-02 00:00:00,0.29515,0.304,0.2622,0.27595,367857288.9
2020-09-03 00:00:00,0.27594,0.2765,0.238,0.24409,375303316.2
2020-09-04 00:00:00,0.24404,0.26582,0.24012,0.25385,347276927.6
2020-09-05 00:00:00,0.25385,0.25951,0.231,0.23738,343014820.3
2020-09-06 00:00:00,0.23737,0.24358,0.22937,0.23986,245971020.2
2020-09-07 00:00:00,0.23987,0.24292,0.22962,0.24198,217149074.3
2020-09-08 00:00:00,0.24202,0.24365,0.2312,0.23657,185386436.1
2020-09-09 00:00:00,0.23658,0.24278,0.23303,0.23901,120931648.7
2020-09-10 00:00:00,0.239,0.24871,0.23878,0.24302,150794017.7
2020-09-11 00:00:00,0.24302,0.2444,0.23683,0.24252,102995486.8
2020-09-12 00:00:00,0.24252,0.24879,0.24019,0.24752,90026751.2
2020-09-13 00:00:00,0.24749,0.2535,0.23757,0.24218,134508183.7
2020-09-14 00:00:00,0.24214,0.2484,0.23901,0.24564,128679809.9
2020-09-15 00:00:00,0.24562,0.2494,0.24225,0.24331,123397806.3
2020-09-16 00:00:00,0.24331,0.25117,0.2341,0.24686,155437121.5
2020-09-17 00:00:00,0.24682,0.2586,0.24601,0.25214,195903905.1
2020-09-18 00:00:00,0.25208,0.25522,0.2463,0.25065,123918267.6
2020-09-19 00:00:00,0.25065,0.25497,0.24733,0.25112,94380999.1
2020-09-20 00:00:00,0.25112,0.25125,0.2423,0.24652,100830684.4
2020-09-21 00:00:00,0.24657,0.24809,0.22915,0.23102,232559544.3
2020-09-22 00:00:00,0.23104,0.23459,0.22916,0.23302,113084575.2
2020-09-23 00:00:00,0.23301,0.2352,0.22017,0.22164,148246113.4
2020-09-24 00:00:00,0.22164,0.23401,0.21944,0.23276,173682650.7
2020-09-25 00:00:00,0.23277,0.24477,0.2295,0.24154,146717481.1
2020-09-26 00:00:00,0.24154,0.24568,0.23764,0.24153,113365429.6
2020-09-27 00:00:00,0.24147,0.24474,0.23729,0.24334,91772023.9
2020-09-28 00:00:00,0.24329,0.24851,0.23979,0.24107,121590934.4
2020-09-29 00:00:00,0.2411,0.24662,0.2383,0.24285,109204653.3
2020-09-30 00:00:00,0.24286,0.24289,0.2375,0.24171,101266167.8
2020-10-01 00:00:00,0.24172,0.24452,0.23372,0.23819,127335773.7
2020-10-02 00:00:00,0.23813,0.23937,0.22829,0.23386,146884020.3
2020-10-03 00:00:00,0.23387,0.23499,0.23254,0.23273,59902666.5
2020-10-04 00:00:00,0.23274,0.25024,0.23159,0.24794,157014929.5
2020-10-05 00:00:00,0.24794,0.25442,0.24628,0.2503,228844024.4
2020-10-06 00:00:00,0.25034,0.25932,0.24021,0.24545,378003616.4
2020-10-07 00:00:00,0.24549,0.25141,0.24077,0.2487,177097434.2
2020-10-08 00:00:00,0.24871,0.25297,0.24206,0.25141,197900153.1
2020-10-09 00:00:00,0.25141,0.25665,0.24935,0.25293,192476557.6
2020-10-10 00:00:00,0.25293,0.26071,0.25265,0.25402,165954957.2
2020-10-11 00:00:00,0.25401,0.25842,0.25321,0.25544,129208149.4
2020-10-12 00:00:00,0.25545,0.25826,0.24732,0.25603,225658413.6
2020-10-13 00:00:00,0.25602,0.25997,0.25267,0.2565,232496747.4
2020-10-14 00:00:00,0.25658,0.2584,0.24593,0.24906,200090976.7
2020-10-15 00:00:00,0.24906,0.25014,0.24287,0.24596,157801611.0
2020-10-16 00:00:00,0.24584,0.24787,0.2375,0.24011,149640393.0
2020-10-17 00:00:00,0.24014,0.24329,0.23853,0.24057,76204228.7
2020-10-18 00:00:00,0.24059,0.24362,0.24005,0.24221,59622713.2
2020-10-19 00:00:00,0.2422,0.24945,0.24011,0.24558,144261234.7
2020-10-20 00:00:00,0.24557,0.25039,0.2411,0.24322,142586108.2
2020-10-21 00:00:00,0.24324,0.25555,0.24249,0.25088,213403919.3
2020-10-22 00:00:00,0.2508,0.26357,0.25077,0.25709,262479836.1
2020-10-23 00:00:00,0.25703,0.25921,0.25005,0.25471,145732428.5
2020-10-24 00:00:00,0.25472,0.25763,0.25253,0.2562,71861131.8
2020-10-25 00:00:00,0.2562,0.25714,0.25105,0.25313,70096933.8
2020-10-26 00:00:00,0.25313,0.2591,0.24341,0.2481,153008505.9
2020-10-27 00:00:00,0.24811,0.25398,0.24743,0.25273,125197583.4
2020-10-28 00:00:00,0.25273,0.25666,0.2444,0.2454,152758067.2
2020-10-29 00:00:00,0.2454,0.24702,0.2396,0.24239,127858202.6
2020-10-30 00:00:00,0.24232,0.24402,0.23057,0.23905,133423159.8
2020-10-31 00:00:00,0.23906,0.24351,0.23743,0.23968,84576060.9
2020-11-01 00:00:00,0.2396,0.24138,0.23648,0.23999,64775047.6
2020-11-02 00:00:00,0.23999,0.2452,0.23264,0.23523,130300920.1
2020-11-03 00:00:00,0.23526,0.24425,0.22772,0.2396,213624345.8
2020-11-04 00:00:00,0.2396,0.24045,0.23213,0.23758,175258053.1
2020-11-05 00:00:00,0.23759,0.24743,0.23712,0.24561,220616913.3
2020-11-06 00:00:00,0.24569,0.2614,0.24508,0.25863,289253502.7
2020-11-07 00:00:00,0.2586,0.26733,0.24419,0.2491,263707018.0
2020-11-08 00:00:00,0.24913,0.25701,0.24724,0.25374,119757768.6
2020-11-09 00:00:00,0.25368,0.2562,0.24557,0.25059,161129039.0
2020-11-10 00:00:00,0.25058,0.265,0.24806,0.2538,250018160.4
2020-11-11 00:00:00,0.25379,0.26,0.25209,0.25581,155421758.6
2020-11-12 00:00:00,0.25581,0.25818,0.2525,0.2549,139776053.7
2020-11-13 00:00:00,0.2549,0.2659,0.2535,0.2659,193021203.1
2020-11-14 00:00:00,0.26587,0.2777,0.26128,0.26824,319194414.6
2020-11-15 00:00:00,0.26829,0.27677,0.26405,0.26954,224828544.8
2020-11-16 00:00:00,0.26957,0.28998,0.26737,0.28813,321242912.3
2020-11-17 00:00:00,0.28814,0.305,0.28722,0.30247,529073040.7
2020-11-18 00:00:00,0.30247,0.30818,0.28055,0.29335,488657752.7
2020-11-19 00:00:00,0.29333,0.30659,0.284,0.30358,361076482.2
2020-11-20 00:00:00,0.30356,0.33091,0.29679,0.32991,484828433.3
2020-11-21 00:00:00,0.32993,0.4695,0.32929,0.46283,1667089858.1
2020-11-22 00:00:00,0.46283,0.49659,0.40155,0.44611,1873986909.8
2020-11-23 00:00:00,0.44592,0.61984,0.43232,0.61579,1851054399.6
2020-11-24 00:00:00,0.61562,0.78068,0.56777,0.694,2884741162.1
2020-11-25 00:00:00,0.69399,0.725,0.58405,0.63022,1690578550.2
2020-11-26 00:00:00,0.63024,0.652,0.456,0.53654,2334291327.2
2020-11-27 00:00:00,0.53649,0.58669,0.50345,0.5623,1241200699.6
2020-11-28 00:00:00,0.5625,0.64888,0.5387,0.62579,1276241318.5
2020-11-29 00:00:00,0.62573,0.637,0.58285,0.60543,857628664.8
2020-11-30 00:00:00,0.60543,0.6791,0.59881,0.66417,1178919882.3
2020-12-01 00:00:00,0.66378,0.681,0.56401,0.61088,1075049125.0
2020-12-02 00:00:00,0.6113,0.6368,0.59455,0.62972,593876086.8
2020-12-03 00:00:00,0.62969,0.6418,0.6149,0.63046,392655662.9
2020-12-04 00:00:00,0.63046,0.6342,0.54253,0.55367,662141348.0
2020-12-05 00:00:00,0.55355,0.59628,0.54833,0.58517,432888774.1
2020-12-06 00:00:00,0.58516,0.62801,0.57907,0.62107,639023167.7
2020-12-07 00:00:00,0.62096,0.624,0.59084,0.60818,386644252.1
2020-12-08 00:00:00,0.60822,0.61048,0.55,0.5589,500942717.0
2020-12-09 00:00:00,0.55897,0.60544,0.50383,0.58265,927273510.3
2020-12-10 00:00:00,0.58284,0.58848,0.55318,0.57267,558676539.1
2020-12-11 00:00:00,0.57267,0.58697,0.52594,0.54945,952325951.7
2020-12-12 00:00:00,0.54847,0.55102,0.48521,0.50658,997933196.6
2020-12-13 00:00:00,0.50658,0.5278,0.4855,0.51365,602985171.9
2020-12-14 00:00:00,0.51366,0.51852,0.48901,0.4974,375701995.0
2020-12-15 00:00:00,0.49737,0.50715,0.46433,0.46793,514053464.1
2020-12-16 00:00:00,0.46793,0.57477,0.43722,0.56941,1249912571.2
2020-12-17 00:00:00,0.56938,0.65852,0.5358,0.5769,1801379927.6
2020-12-18 00:00:00,0.57685,0.61346,0.55101,0.58337,970255895.5
2020-12-19 00:00:00,0.58335,0.60377,0.56588,0.57666,614731783.6
2020-12-20 00:00:00,0.57692,0.58658,0.5287,0.55586,544352722.1
2020-12-21 00:00:00,0.55576,0.56935,0.49825,0.51445,593235772.1
2020-12-22 00:00:00,0.51469,0.52213,0.40215,0.44642,1509931701.2
2020-12-23 00:00:00,0.44636,0.44842,0.21164,0.2605,4553848887.4
2020-12-24 00:00:00,0.2605,0.3778,0.24003,0.33863,3822010234.7
