Timestamp,Open,High,Low,Close,Volume
2024-03-14 00:00:00,3.741,3.86,3.355,3.606,20614976.4
2024-03-15 00:00:00,3.606,3.67,2.95,3.345,25932771.0
2024-03-16 00:00:00,3.346,3.526,3.0,3.071,18244544.9
2024-03-17 00:00:00,3.071,3.245,2.914,3.192,12385783.6
2024-03-18 00:00:00,3.192,3.244,2.855,2.908,14892208.7
2024-03-19 00:00:00,2.908,2.997,2.555,2.763,26690244.4
2024-03-20 00:00:00,2.763,3.081,2.633,3.044,21556699.1
2024-03-21 00:00:00,3.043,3.189,2.987,3.119,15300306.2
2024-03-22 00:00:00,3.118,3.18,2.88,3.0,11197885.5
2024-03-23 00:00:00,3.0,3.098,2.935,2.968,6407361.3
2024-03-24 00:00:00,2.968,3.093,2.914,3.076,6566711.9
2024-03-25 00:00:00,3.077,3.237,3.029,3.195,13120431.2
2024-03-26 00:00:00,3.196,3.4,3.078,3.172,16562857.4
2024-03-27 00:00:00,3.172,3.274,3.044,3.087,15606230.2
2024-03-28 00:00:00,3.087,3.194,3.0,3.172,11349823.5
2024-03-29 00:00:00,3.172,3.203,2.953,3.003,9027533.4
2024-03-30 00:00:00,3.003,3.043,2.902,2.933,7212632.6
2024-03-31 00:00:00,2.934,3.024,2.913,3.02,6167430.2
2024-04-01 00:00:00,3.018,3.061,2.753,2.843,14357018.8
2024-04-02 00:00:00,2.843,2.845,2.65,2.729,13877199.2
2024-04-03 00:00:00,2.729,2.859,2.616,2.73,11640438.5
2024-04-04 00:00:00,2.729,2.97,2.653,2.841,11562166.6
2024-04-05 00:00:00,2.841,2.854,2.649,2.705,9045791.2
2024-04-06 00:00:00,2.704,2.832,2.691,2.81,5423669.2
2024-04-07 00:00:00,2.81,3.003,2.805,2.977,7757310.4
2024-04-08 00:00:00,2.978,3.06,2.873,3.024,12110991.3
2024-04-09 00:00:00,3.023,3.03,2.709,2.737,13109542.7
2024-04-10 00:00:00,2.737,2.811,2.583,2.753,9715974.0
2024-04-11 00:00:00,2.754,2.776,2.632,2.661,6140281.4
2024-04-12 00:00:00,2.66,2.713,1.901,2.114,26371181.6
2024-04-13 00:00:00,2.114,2.274,1.518,1.857,32773552.7
2024-04-14 00:00:00,1.856,2.25,1.781,2.112,22465122.6
2024-04-15 00:00:00,2.111,2.217,1.863,1.968,13631409.5
2024-04-16 00:00:00,1.967,2.018,1.862,1.96,9829254.0
2024-04-17 00:00:00,1.96,1.989,1.805,1.824,12748845.3
2024-04-18 00:00:00,1.825,1.878,1.725,1.824,13270009.8
2024-04-19 00:00:00,1.825,1.95,1.637,1.803,13739007.8
2024-04-20 00:00:00,1.804,2.002,1.778,1.982,8660416.1
2024-04-21 00:00:00,1.982,2.003,1.885,1.928,7318740.5
2024-04-22 00:00:00,1.928,2.049,1.915,2.024,6985643.9
2024-04-23 00:00:00,2.024,2.054,1.92,1.93,7238029.3
2024-04-24 00:00:00,1.93,2.031,1.791,1.815,11142128.8
2024-04-25 00:00:00,1.815,1.873,1.745,1.815,7837247.2
2024-04-26 00:00:00,1.815,1.828,1.725,1.744,6656812.1
2024-04-27 00:00:00,1.744,1.82,1.666,1.812,7100687.9
2024-04-28 00:00:00,1.812,1.907,1.758,1.77,7906959.0
2024-04-29 00:00:00,1.769,1.826,1.704,1.803,5764057.4
2024-04-30 00:00:00,1.803,1.832,1.611,1.704,10545099.0
2024-05-01 00:00:00,1.703,1.718,1.503,1.642,17387164.0
2024-05-02 00:00:00,1.642,1.739,1.587,1.705,6800178.1
2024-05-03 00:00:00,1.705,1.813,1.68,1.796,7654160.6
2024-05-04 00:00:00,1.795,1.825,1.772,1.776,4854334.7
2024-05-05 00:00:00,1.776,1.862,1.725,1.82,5497193.7
2024-05-06 00:00:00,1.819,1.906,1.735,1.739,9134066.9
2024-05-07 00:00:00,1.739,1.764,1.67,1.68,7458644.2
2024-05-08 00:00:00,1.679,1.694,1.618,1.65,6787747.1
2024-05-09 00:00:00,1.65,1.731,1.62,1.713,4056863.2
2024-05-10 00:00:00,1.713,1.731,1.616,1.652,5133622.3
2024-05-11 00:00:00,1.653,1.691,1.635,1.641,2963525.8
2024-05-12 00:00:00,1.641,1.673,1.613,1.632,4357307.8
2024-05-13 00:00:00,1.631,1.663,1.54,1.596,6933068.6
2024-05-14 00:00:00,1.596,1.608,1.528,1.538,5583344.6
2024-05-15 00:00:00,1.537,1.652,1.532,1.623,7411987.9
2024-05-16 00:00:00,1.622,1.656,1.524,1.552,7186052.9
2024-05-17 00:00:00,1.552,1.632,1.541,1.581,8722234.1
2024-05-18 00:00:00,1.581,1.691,1.561,1.574,7541773.9
2024-05-19 00:00:00,1.574,1.594,1.424,1.444,10180324.1
2024-05-20 00:00:00,1.444,1.647,1.371,1.63,17332218.6
2024-05-21 00:00:00,1.631,1.73,1.595,1.671,17124164.1
2024-05-22 00:00:00,1.67,1.682,1.54,1.608,11758032.1
2024-05-23 00:00:00,1.608,1.818,1.601,1.79,27523023.9
2024-05-24 00:00:00,1.789,1.844,1.656,1.733,14647312.9
2024-05-25 00:00:00,1.734,1.783,1.701,1.713,8333790.6
2024-05-26 00:00:00,1.713,1.743,1.676,1.703,7675806.9
2024-05-27 00:00:00,1.703,1.825,1.667,1.794,13580441.8
2024-05-28 00:00:00,1.794,1.867,1.71,1.834,11186306.7
2024-05-29 00:00:00,1.834,1.884,1.744,1.751,13213758.2
2024-05-30 00:00:00,1.751,1.796,1.7,1.738,7812070.8
2024-05-31 00:00:00,1.738,1.8,1.706,1.735,6947492.1
2024-06-01 00:00:00,1.735,1.77,1.701,1.762,4920380.8
2024-06-02 00:00:00,1.762,1.852,1.762,1.783,11161796.8
2024-06-03 00:00:00,1.782,1.843,1.71,1.735,11137382.7
2024-06-04 00:00:00,1.734,1.802,1.724,1.774,7492207.8
2024-06-05 00:00:00,1.775,1.892,1.775,1.843,11845225.1
2024-06-06 00:00:00,1.844,1.868,1.766,1.798,7279254.0
2024-06-07 00:00:00,1.799,1.827,1.45,1.6,16313410.1
2024-06-08 00:00:00,1.601,1.639,1.492,1.531,10426892.3
2024-06-09 00:00:00,1.531,1.594,1.517,1.588,5479616.2
2024-06-10 00:00:00,1.588,1.595,1.502,1.521,6315950.6
2024-06-11 00:00:00,1.521,1.539,1.392,1.419,13645587.4
2024-06-12 00:00:00,1.419,1.518,1.356,1.451,11768511.6
2024-06-13 00:00:00,1.45,1.451,1.354,1.379,8080262.2
2024-06-14 00:00:00,1.38,1.408,1.217,1.249,17070660.2
2024-06-15 00:00:00,1.249,1.308,1.246,1.276,8434495.3
2024-06-16 00:00:00,1.277,1.302,1.238,1.287,7648781.5
2024-06-17 00:00:00,1.287,1.3,1.131,1.156,15017939.1
2024-06-18 00:00:00,1.157,1.163,0.966,1.016,27831206.2
2024-06-19 00:00:00,1.016,1.062,0.965,1.002,22007993.5
2024-06-20 00:00:00,1.001,1.074,0.985,1.011,15854745.9
2024-06-21 00:00:00,1.011,1.038,0.986,1.002,12635903.9
2024-06-22 00:00:00,1.002,1.024,0.978,1.001,6675286.9
2024-06-23 00:00:00,1.001,1.032,0.951,0.965,8801900.3
2024-06-24 00:00:00,0.965,1.024,0.92,1.016,22148365.3
2024-06-25 00:00:00,1.015,1.058,1.014,1.039,9002727.3
2024-06-26 00:00:00,1.039,1.059,0.974,1.001,9263689.4
2024-06-27 00:00:00,1.001,1.18,0.996,1.08,29575366.0
2024-06-28 00:00:00,1.08,1.083,0.988,0.992,16353258.8
2024-06-29 00:00:00,0.991,1.04,0.986,1.01,6959729.4
2024-06-30 00:00:00,1.01,1.055,0.994,1.051,8775595.0
2024-07-01 00:00:00,1.052,1.077,1.013,1.017,8026522.3
2024-07-02 00:00:00,1.016,1.025,0.991,1.017,7527947.8
2024-07-03 00:00:00,1.017,1.03,0.96,0.974,9662642.4
2024-07-04 00:00:00,0.974,0.984,0.892,0.893,22499775.5
2024-07-05 00:00:00,0.893,0.894,0.725,0.752,38653764.2
2024-07-06 00:00:00,0.751,0.845,0.73,0.831,15681789.6
2024-07-07 00:00:00,0.83,0.838,0.776,0.784,11665036.0
2024-07-08 00:00:00,0.784,0.889,0.745,0.847,21344744.6
2024-07-09 00:00:00,0.847,0.867,0.83,0.854,11245419.9
2024-07-10 00:00:00,0.853,0.891,0.84,0.865,10799683.3
2024-07-11 00:00:00,0.865,0.89,0.811,0.815,7797215.5
2024-07-12 00:00:00,0.816,0.863,0.794,0.852,6717198.6
2024-07-13 00:00:00,0.853,0.878,0.829,0.843,6555288.2
2024-07-14 00:00:00,0.843,0.88,0.83,0.874,6573371.1
2024-07-15 00:00:00,0.873,0.931,0.865,0.925,10125194.0
2024-07-16 00:00:00,0.924,0.939,0.864,0.925,11545592.7
2024-07-17 00:00:00,0.925,1.043,0.922,1.018,21313025.8
2024-07-18 00:00:00,1.018,1.079,0.987,1.016,18052583.3
2024-07-19 00:00:00,1.017,1.045,0.97,1.034,13239512.3
2024-07-20 00:00:00,1.033,1.063,1.011,1.02,8556245.3
2024-07-21 00:00:00,1.02,1.054,0.944,1.054,8518400.3
2024-07-22 00:00:00,1.054,1.114,1.001,1.006,15487543.4
2024-07-23 00:00:00,1.006,1.057,0.96,0.966,11488483.4
2024-07-24 00:00:00,0.966,0.996,0.937,0.945,6652741.9
